date,diesel_ttc,super_98_ttc,super_95_ttc,super_plombe_ttc,super_95_e10_ttc
2022,181.0,189.0,183.0,,180.0
2021,144.0,162.0,156.0,,154.0
2020,127.0,142.0,137.0,,135.0
2019,144.0,156.0,151.0,,149.0
2018,144.0,157.0,151.0,,
2017,123.0,145.0,138.0,,
2016,111.0,135.0,132.0,,
2015,117.0,141.0,137.0,,
2014,130.0,154.0,150.0,,
2013,136.0,160.0,156.0,,
2012,141.0,163.0,159.0,,
2011,134.0,155.0,150.0,,
2010,116.0,140.0,136.0,,
2009,101.0,125.0,122.0,,
2008,128.0,142.0,138.0,,
2007,110.0,132.0,129.0,,
2006,109.0,129.0,125.0,,
2005,103.0,121.0,118.0,124.0,
2004,89.0,109.0,108.0,116.0,
2003,80.0,104.0,102.0,111.0,
2002,77.0,103.0,100.0,110.0,
2001,80.0,105.0,,113.0,
2000,85.0,111.0,,118.0,
1999,69.0,96.0,,101.0,
1998,64.0,93.0,,96.0,
1997,68.0,96.0,,99.0,
1996,66.0,92.0,,96.0,
1995,59.0,87.0,,90.0,
1994,60.0,82.0,,87.0,
1993,56.0,79.0,,84.0,
1992,54.0,78.0,,81.0,
