date,diesel_ttc,super_98_ttc,super_95_ttc,super_plombe_ttc,super_95_e10_ttc
2022-04-01,187.0,187.0,182.0,,176.0
2022-03-01,202.0,205.0,200.0,,196.0
2022-02-01,172.0,186.0,180.0,,177.0
2022-01-01,163.0,177.0,171.0,,169.0
2021-12-01,154.0,170.0,164.0,,161.0
2021-11-01,157.0,174.0,168.0,,165.0
2021-10-01,156.0,171.0,165.0,,163.0
2021-09-01,146.0,165.0,160.0,,157.0
2021-08-01,145.0,165.0,159.0,,157.0
2021-07-01,145.0,165.0,159.0,,156.0
2021-06-01,143.0,160.0,155.0,,153.0
2021-05-01,140.0,159.0,154.0,,151.0
2021-04-01,139.0,159.0,153.0,,151.0
2021-03-01,140.0,157.0,152.0,,150.0
2021-02-01,136.0,152.0,146.0,,145.0
2021-01-01,131.0,147.0,142.0,,140.0
2020-12-01,127.0,142.0,137.0,,135.0
2020-11-01,122.0,139.0,134.0,,133.0
2020-10-01,121.0,140.0,135.0,,133.0
2020-09-01,122.0,140.0,135.0,,133.0
2020-08-01,125.0,140.0,135.0,,133.0
2020-07-01,125.0,141.0,136.0,,134.0
2020-06-01,122.0,137.0,132.0,,131.0
2020-05-01,118.0,131.0,126.0,,125.0
2020-04-01,123.0,135.0,129.0,,127.0
2020-03-01,132.0,147.0,141.0,,139.0
2020-02-01,142.0,156.0,151.0,,149.0
2020-01-01,149.0,160.0,155.0,,153.0
2019-12-01,147.0,158.0,153.0,,151.0
2019-11-01,144.0,156.0,152.0,,149.0
2019-10-01,144.0,155.0,150.0,,148.0
2019-09-01,144.0,155.0,150.0,,148.0
2019-08-01,142.0,156.0,151.0,,148.0
2019-07-01,142.0,157.0,152.0,,150.0
2019-06-01,143.0,159.0,153.0,,151.0
2019-05-01,149.0,164.0,159.0,,156.0
2019-04-01,147.0,161.0,157.0,,154.0
2019-03-01,146.0,154.0,149.0,,147.0
2019-02-01,144.0,150.0,145.0,,143.0
2019-01-01,140.0,148.0,143.0,,140.0
2018-12-01,142.0,150.0,144.0,,
2018-11-01,148.0,155.0,149.0,,
2018-10-01,152.0,163.0,157.0,,
2018-09-01,148.0,162.0,156.0,,
2018-08-01,145.0,161.0,155.0,,
2018-07-01,145.0,160.0,154.0,,
2018-06-01,146.0,162.0,155.0,,
2018-05-01,145.0,160.0,154.0,,
2018-04-01,140.0,155.0,149.0,,
2018-03-01,137.0,152.0,146.0,,
2018-02-01,138.0,153.0,147.0,,
2018-01-01,139.0,154.0,147.0,,
2017-12-01,128.0,148.0,141.0,,
2017-11-01,127.0,147.0,141.0,,
2017-10-01,124.0,143.0,136.0,,
2017-09-01,122.0,144.0,137.0,,
2017-08-01,120.0,141.0,134.0,,
2017-07-01,117.0,139.0,133.0,,
2017-06-01,118.0,142.0,135.0,,
2017-05-01,121.0,144.0,138.0,,
2017-04-01,124.0,147.0,140.0,,
2017-03-01,125.0,146.0,140.0,,
2017-02-01,127.0,148.0,142.0,,
2017-01-01,127.0,148.0,142.0,,
2016-12-01,118.0,138.0,135.0,,
2016-11-01,116.0,138.0,134.0,,
2016-10-01,115.0,137.0,133.0,,
2016-09-01,112.0,134.0,131.0,,
2016-08-01,111.0,133.0,129.0,,
2016-07-01,114.0,138.0,133.0,,
2016-06-01,117.0,141.0,137.0,,
2016-05-01,112.0,137.0,134.0,,
2016-04-01,107.0,134.0,131.0,,
2016-03-01,106.0,129.0,127.0,,
2016-02-01,103.0,129.0,126.0,,
2016-01-01,103.0,132.0,129.0,,
2015-12-01,108.0,134.0,130.0,,
2015-11-01,111.0,135.0,130.0,,
