date,diesel_ttc,super_98_ttc,super_95_ttc,super_plombe_ttc,super_95_e10_ttc
2022-04-01,1.87,1.87,1.82,,1.76
2022-03-01,2.02,2.05,2.0,,1.96
2022-02-01,1.72,1.86,1.8,,1.77
2022-01-01,1.63,1.77,1.71,,1.69
2021-12-01,1.54,1.7,1.64,,1.61
2021-11-01,1.57,1.74,1.68,,1.65
2021-10-01,1.56,1.71,1.65,,1.63
2021-09-01,1.46,1.65,1.6,,1.57
2021-08-01,1.45,1.65,1.59,,1.57
2021-07-01,1.45,1.65,1.59,,1.56
2021-06-01,1.43,1.6,1.55,,1.53
2021-05-01,1.4,1.59,1.54,,1.51
2021-04-01,1.39,1.59,1.53,,1.51
2021-03-01,1.4,1.57,1.52,,1.5
2021-02-01,1.36,1.52,1.46,,1.45
2021-01-01,1.31,1.47,1.42,,1.4
2020-12-01,1.27,1.42,1.37,,1.35
2020-11-01,1.22,1.39,1.34,,1.33
2020-10-01,1.21,1.4,1.35,,1.33
2020-09-01,1.22,1.4,1.35,,1.33
2020-08-01,1.25,1.4,1.35,,1.33
2020-07-01,1.25,1.41,1.36,,1.34
2020-06-01,1.22,1.37,1.32,,1.31
2020-05-01,1.18,1.31,1.26,,1.25
2020-04-01,1.23,1.35,1.29,,1.27
2020-03-01,1.32,1.47,1.41,,1.39
2020-02-01,1.42,1.56,1.51,,1.49
2020-01-01,1.49,1.6,1.55,,1.53
2019-12-01,1.47,1.58,1.53,,1.51
2019-11-01,1.44,1.56,1.52,,1.49
2019-10-01,1.44,1.55,1.5,,1.48
2019-09-01,1.44,1.55,1.5,,1.48
2019-08-01,1.42,1.56,1.51,,1.48
2019-07-01,1.42,1.57,1.52,,1.5
2019-06-01,1.43,1.59,1.53,,1.51
2019-05-01,1.49,1.64,1.59,,1.56
2019-04-01,1.47,1.61,1.57,,1.54
2019-03-01,1.46,1.54,1.49,,1.47
2019-02-01,1.44,1.5,1.45,,1.43
2019-01-01,1.4,1.48,1.43,,1.4
2018-12-01,1.42,1.5,1.44,,
2018-11-01,1.48,1.55,1.49,,
2018-10-01,1.52,1.63,1.57,,
2018-09-01,1.48,1.62,1.56,,
2018-08-01,1.45,1.61,1.55,,
