region,carburant,annee,mois,prix_moyen_by_litre
82,Gazole,2007,1,1.02
82,Gazole,2007,2,1.03
82,Gazole,2007,3,1.04
82,Gazole,2007,4,1.07
82,Gazole,2007,5,1.08
82,Gazole,2007,6,1.09
82,Gazole,2007,7,1.1
82,Gazole,2007,8,1.1
82,Gazole,2007,9,1.12
82,Gazole,2007,10,1.13
82,Gazole,2007,11,1.22
82,Gazole,2007,12,1.22
82,Gazole,2008,1,1.21
82,Gazole,2008,2,1.22
82,Gazole,2008,3,1.28
82,Gazole,2008,4,1.31
82,Gazole,2008,5,1.4
82,Gazole,2008,6,1.46
82,Gazole,2008,7,1.45
82,Gazole,2008,8,1.36
82,Gazole,2008,9,1.32
82,Gazole,2008,10,1.24
82,Gazole,2008,11,1.14
82,Gazole,2008,12,1.03
82,Gazole,2009,1,1.0
82,Gazole,2009,2,0.98
82,Gazole,2009,3,0.96
82,Gazole,2009,4,0.98
82,Gazole,2009,5,0.98
82,Gazole,2009,6,1.03
82,Gazole,2009,7,1.01
82,Gazole,2009,8,1.04
82,Gazole,2009,9,1.03
82,Gazole,2009,10,1.03
82,Gazole,2009,11,1.06
82,Gazole,2009,12,1.05
82,Gazole,2010,1,1.09
82,Gazole,2010,2,1.1
82,Gazole,2010,3,1.13
82,Gazole,2010,4,1.17
82,Gazole,2010,5,1.19
82,Gazole,2010,6,1.18
82,Gazole,2010,7,1.16
82,Gazole,2010,8,1.16
82,Gazole,2010,9,1.16
82,Gazole,2010,10,1.19
82,Gazole,2010,11,1.2
82,Gazole,2010,12,1.24
82,Gazole,2011,1,1.29
82,Gazole,2011,2,1.32
82,Gazole,2011,3,1.37
82,Gazole,2011,4,1.38
82,Gazole,2011,5,1.35
82,Gazole,2011,6,1.34
82,Gazole,2011,7,1.34
82,Gazole,2011,8,1.33
82,Gazole,2011,9,1.35
82,Gazole,2011,10,1.35
82,Gazole,2011,11,1.38
82,Gazole,2011,12,1.39
82,Gazole,2012,1,1.41
82,Gazole,2012,2,1.43
82,Gazole,2012,3,1.46
82,Gazole,2012,4,1.44
82,Gazole,2012,5,1.41
82,Gazole,2012,6,1.35
82,Gazole,2012,7,1.38
82,Gazole,2012,8,1.44
82,Gazole,2012,9,1.4
82,Gazole,2012,10,1.39
82,Gazole,2012,11,1.37
82,Gazole,2012,12,1.37
82,Gazole,2013,1,1.39
82,Gazole,2013,2,1.42
82,Gazole,2013,3,1.4
82,Gazole,2013,4,1.36
82,Gazole,2013,5,1.34
82,Gazole,2013,6,1.34
82,Gazole,2013,7,1.36
82,Gazole,2013,8,1.36
82,Gazole,2013,9,1.38
82,Gazole,2013,10,1.34
82,Gazole,2013,11,1.33
82,Gazole,2013,12,1.35
82,Gazole,2014,1,1.35
82,Gazole,2014,2,1.35
82,Gazole,2014,3,1.34
82,Gazole,2014,4,1.34
82,Gazole,2014,5,1.34
82,Gazole,2014,6,1.34
82,Gazole,2014,7,1.34
82,Gazole,2014,8,1.33
82,Gazole,2014,9,1.32
82,Gazole,2014,10,1.29
82,Gazole,2014,11,1.26
82,Gazole,2014,12,1.18
82,Gazole,2015,1,1.14
82,Gazole,2015,2,1.2
82,Gazole,2015,3,1.23
82,Gazole,2015,4,1.23
82,Gazole,2015,5,1.26
82,Gazole,2015,6,1.25
82,Gazole,2015,7,1.21
82,Gazole,2015,8,1.16
82,Gazole,2015,9,1.13
82,Gazole,2015,10,1.13
82,Gazole,2015,11,1.13
82,Gazole,2015,12,1.07
82,Gazole,2016,1,
82,Gazole,2016,2,
82,Gazole,2016,3,
82,Gazole,2016,4,
82,Gazole,2016,5,
82,Gazole,2016,6,
82,Gazole,2016,7,
82,Gazole,2016,8,
82,Gazole,2016,9,
82,Gazole,2016,10,
82,Gazole,2016,11,
82,Gazole,2016,12,
82,Gazole,2017,1,
82,Gazole,2017,2,
82,Gazole,2017,3,
82,Gazole,2017,4,
82,Gazole,2017,5,
82,Gazole,2017,6,
82,Gazole,2017,7,
82,Gazole,2017,8,
82,Gazole,2017,9,
82,Gazole,2017,10,
82,Gazole,2017,11,
82,Gazole,2017,12,
82,Gazole,2018,1,
82,Gazole,2018,2,
82,Gazole,2018,3,
82,Gazole,2018,4,
82,Gazole,2018,5,
82,Gazole,2018,6,
82,Gazole,2018,7,
82,Gazole,2018,8,
82,Gazole,2018,9,
82,Gazole,2018,10,
82,Gazole,2018,11,
82,Gazole,2018,12,
82,Gazole,2019,1,
82,Gazole,2019,2,
82,Gazole,2019,3,
82,Gazole,2019,4,
82,Gazole,2019,5,
82,Gazole,2019,6,
82,Gazole,2019,7,
82,Gazole,2019,8,
82,Gazole,2019,9,
82,Gazole,2019,10,
82,Gazole,2019,11,
82,Gazole,2019,12,
82,Gazole,2020,1,
