carburant,annee,prix_moyen_par_litre
E10,2009,1.24
E10,2010,1.36
E10,2011,1.519
E10,2012,1.573
E10,2013,1.556
E10,2014,1.5
E10,2015,1.369
E10,2016,1.289
E10,2017,1.376
E10,2018,1.508
E10,2019,1.506
E10,2020,1.369
E10,2021,1.547
E85,2007,0.822
E85,2008,0.858
E85,2009,0.954
E85,2010,1.107
E85,2011,0.903
E85,2012,0.921
E85,2013,0.931
E85,2014,0.883
E85,2015,0.914
E85,2016,0.831
E85,2017,0.732
E85,2018,0.772
E85,2019,0.765
E85,2020,0.711
E85,2021,0.745
GPLc,2007,0.733
GPLc,2008,0.757
GPLc,2009,0.666
GPLc,2010,0.73
GPLc,2011,0.835
GPLc,2012,0.875
GPLc,2013,0.883
GPLc,2014,0.868
GPLc,2015,0.806
GPLc,2016,0.739
GPLc,2017,0.773
GPLc,2018,0.856
GPLc,2019,0.885
GPLc,2020,0.882
GPLc,2021,0.892
Gazole,2007,1.101
Gazole,2008,1.281
Gazole,2009,1.013
Gazole,2010,1.162
Gazole,2011,1.362
Gazole,2012,1.425
Gazole,2013,1.382
Gazole,2014,1.314
Gazole,2015,1.173
Gazole,2016,1.129
Gazole,2017,1.261
Gazole,2018,1.46
Gazole,2019,1.464
Gazole,2020,1.29
Gazole,2021,1.456
SP95,2007,1.295
SP95,2008,1.378
SP95,2009,1.227
SP95,2010,1.368
SP95,2011,1.529
SP95,2012,1.602
SP95,2013,1.57
SP95,2014,1.515
SP95,2015,1.38
SP95,2016,1.331
SP95,2017,1.408
SP95,2018,1.535
SP95,2019,1.535
SP95,2020,1.392
SP95,2021,1.577
SP98,2013,1.595
SP98,2014,1.56
SP98,2015,1.419
SP98,2016,1.366
SP98,2017,1.455
SP98,2018,1.579
SP98,2019,1.582
SP98,2020,1.436
SP98,2021,1.621
