carburant,annee,mois,prix_moyen_by_litre
E10,2009,1,
E10,2009,2,
E10,2009,3,
E10,2009,4,1.18
E10,2009,5,1.205
E10,2009,6,1.259
E10,2009,7,1.235
E10,2009,8,1.259
E10,2009,9,1.239
E10,2009,10,1.238
E10,2009,11,1.264
E10,2009,12,1.26
E10,2010,1,1.3
E10,2010,2,1.315
E10,2010,3,1.356
E10,2010,4,1.384
E10,2010,5,1.388
E10,2010,6,1.375
E10,2010,7,1.356
E10,2010,8,1.347
E10,2010,9,1.345
E10,2010,10,1.36
E10,2010,11,1.374
E10,2010,12,1.416
E10,2011,1,1.47
E10,2011,2,1.476
E10,2011,3,1.516
E10,2011,4,1.541
E10,2011,5,1.548
E10,2011,6,1.523
E10,2011,7,1.526
E10,2011,8,1.518
E10,2011,9,1.536
E10,2011,10,1.519
E10,2011,11,1.513
E10,2011,12,1.511
E10,2012,1,1.56
E10,2012,2,1.59
E10,2012,3,1.636
E10,2012,4,1.658
E10,2012,5,1.595
E10,2012,6,1.538
E10,2012,7,1.553
E10,2012,8,1.606
E10,2012,9,1.575
E10,2012,10,1.549
E10,2012,11,1.5
E10,2012,12,1.502
E10,2013,1,1.557
E10,2013,2,1.615
E10,2013,3,1.605
E10,2013,4,1.573
E10,2013,5,1.545
E10,2013,6,1.55
E10,2013,7,1.562
E10,2013,8,1.565
E10,2013,9,1.558
E10,2013,10,1.513
E10,2013,11,1.502
E10,2013,12,1.517
E10,2014,1,1.505
E10,2014,2,1.514
E10,2014,3,1.516
E10,2014,4,1.525
E10,2014,5,1.531
E10,2014,6,1.543
E10,2014,7,1.544
E10,2014,8,1.517
E10,2014,9,1.512
E10,2014,10,1.484
E10,2014,11,1.446
E10,2014,12,1.365
E10,2015,1,1.282
E10,2015,2,1.336
E10,2015,3,1.39
E10,2015,4,1.411
E10,2015,5,1.44
E10,2015,6,1.45
E10,2015,7,1.443
E10,2015,8,1.39
E10,2015,9,1.328
E10,2015,10,1.312
E10,2015,11,1.314
E10,2015,12,1.291
E10,2016,1,1.262
E10,2016,2,1.23
E10,2016,3,1.251
E10,2016,4,1.29
E10,2016,5,1.319
E10,2016,6,1.339
E10,2016,7,1.288
E10,2016,8,1.269
E10,2016,9,1.278
E10,2016,10,1.307
E10,2016,11,1.301
E10,2016,12,1.338
E10,2017,1,1.39
E10,2017,2,1.398
E10,2017,3,1.377
E10,2017,4,1.39
E10,2017,5,1.362
E10,2017,6,1.337
E10,2017,7,1.336
E10,2017,8,1.348
E10,2017,9,1.376
E10,2017,10,1.37
E10,2017,11,1.405
E10,2017,12,1.406
E10,2018,1,1.46
E10,2018,2,1.452
E10,2018,3,1.445
E10,2018,4,1.473
E10,2018,5,1.532
E10,2018,6,1.543
E10,2018,7,1.535
E10,2018,8,1.542
E10,2018,9,1.551
E10,2018,10,1.555
E10,2018,11,1.488
E10,2018,12,1.436
E10,2019,1,1.41
E10,2019,2,1.433
E10,2019,3,1.475
E10,2019,4,1.543
E10,2019,5,1.578
E10,2019,6,1.528
E10,2019,7,1.522
E10,2019,8,1.501
E10,2019,9,1.5
E10,2019,10,1.501
E10,2019,11,1.508
E10,2019,12,1.522
E10,2020,1,1.532
E10,2020,2,1.497
E10,2020,3,1.397
